_row_idx,task,prefill_time,decode_time,total_time,prompt_tokens,completion_tokens,total_tokens
0,SUMMARIZATION,0.052778467535972595,0.674069233238697,0.7268477007746696,2644,356,3000
1,SUMMARIZATION,0.8146211821585894,0.7523429971188307,1.56696417927742,3065,395,3460
2,SUMMARIZATION,0.019360464066267014,0.9187724702060223,0.9381329342722893,1859,489,2348
3,SUMMARIZATION,0.0194503553211689,0.8028921578079462,0.8223425131291151,3239,421,3660
4,SUMMARIZATION,0.019159667193889618,0.7523846048861742,0.7715442720800638,2917,396,3313
5,SUMMARIZATION,0.018955430015921593,0.9475174453109503,0.9664728753268719,2687,500,3187
6,SUMMARIZATION,0.018896568566560745,0.9413144532591105,0.9602110218256712,2163,500,2663
7,SUMMARIZATION,0.01894337683916092,0.6496209558099508,0.6685643326491117,2951,342,3293
8,SUMMARIZATION,0.01917465776205063,0.9505544975399971,0.9697291553020477,2981,500,3481
9,SUMMARIZATION,0.023009302094578743,0.9570074826478958,0.9800167847424746,3442,500,3942
10,SUMMARIZATION,0.018869340419769287,0.9421928022056818,0.9610621426254511,2168,500,2668
11,SUMMARIZATION,0.019031917676329613,0.8513190764933825,0.8703509941697121,2626,450,3076
12,SUMMARIZATION,0.01905832439661026,0.9097107630223036,0.9287690874189138,3025,478,3503
13,SUMMARIZATION,0.019003745168447495,0.946044497191906,0.9650482423603535,2563,500,3063
14,SUMMARIZATION,0.01879473216831684,0.9343508780002594,0.9531456101685762,1610,500,2110
15,SUMMARIZATION,0.019052652642130852,0.9414702244102955,0.9605228770524263,2175,500,2675
16,SUMMARIZATION,0.018928557634353638,0.9491075668483973,0.9680361244827509,2792,500,3292
17,SUMMARIZATION,0.018919432535767555,0.8981818370521069,0.9171012695878744,2688,474,3162
18,SUMMARIZATION,0.018923908472061157,0.9477688036859035,0.9666927121579647,2717,500,3217
19,SUMMARIZATION,0.0190359465777874,0.9522827733308077,0.9713187199085951,2813,500,3313
20,SUMMARIZATION,0.018983207643032074,0.6489381231367588,0.6679213307797909,2413,343,2756
21,SUMMARIZATION,0.018773017451167107,0.8064167704433203,0.8251897878944874,1874,429,2303
22,SUMMARIZATION,0.01898328773677349,0.9511233326047659,0.9701066203415394,3026,500,3526
23,SUMMARIZATION,0.01904246211051941,0.9508057683706284,0.9698482304811478,3037,500,3537
24,SUMMARIZATION,0.01896880380809307,0.7376481555402279,0.756616959348321,3126,388,3514
25,SUMMARIZATION,0.019006283953785896,0.5143549870699644,0.5333612710237503,2572,273,2845
26,SUMMARIZATION,0.01880614086985588,0.672771317884326,0.6915774587541819,2790,355,3145
27,SUMMARIZATION,0.019147152081131935,0.9516060259193182,0.9707531780004501,3022,500,3522
28,SUMMARIZATION,0.019001184031367302,0.952405508607626,0.9714066926389933,3097,500,3597
29,SUMMARIZATION,0.018846221268177032,0.9506040532141924,0.9694502744823694,2861,500,3361
