_row_idx,task,prefill_time,decode_time,total_time,prompt_tokens,completion_tokens,total_tokens
0,CREATION,0.013117391616106033,6.162742745131254,6.17586013674736,193,1400,1593
1,CREATION,0.008637454360723495,5.256535140797496,5.265172595158219,329,1193,1522
2,CREATION,0.00889991782605648,5.477226298302412,5.4861262161284685,268,1244,1512
3,CREATION,0.007441379129886627,6.33943853341043,6.346879912540317,178,1440,1618
4,CREATION,0.011344149708747864,6.780492682009935,6.791836831718683,378,1532,1910
5,CREATION,0.008862568065524101,5.886390868574381,5.895253436639905,252,1336,1588
6,CREATION,0.008533427491784096,6.088885303586721,6.0974187310785055,279,1381,1660
7,CREATION,0.011812040582299232,7.549179879948497,7.560991920530796,365,1703,2068
8,CREATION,0.008843744173645973,6.337679672986269,6.346523417159915,252,1437,1689
9,CREATION,0.007359405979514122,5.499506391584873,5.506865797564387,175,1252,1427
10,CREATION,0.00882280245423317,5.485994366928935,5.494817169383168,249,1247,1496
11,CREATION,0.009127814322710037,5.845916196703911,5.855044011026621,225,1328,1553
12,CREATION,0.008471211418509483,5.222471391782165,5.230942603200674,306,1186,1492
13,CREATION,0.008300721645355225,5.995421854779124,6.0037225764244795,300,1359,1659
14,CREATION,0.008953383192420006,5.316459687426686,5.325413070619106,240,1209,1449
15,CREATION,0.008271312341094017,6.005519147962332,6.013790460303426,310,1361,1671
16,CREATION,0.011287897825241089,5.522204181179404,5.533492079004645,383,1251,1634
17,CREATION,0.00858665257692337,5.73967182263732,5.748258475214243,275,1303,1578
18,CREATION,0.008848436176776886,5.04696711152792,5.055815547704697,269,1148,1417
19,CREATION,0.011955415830016136,5.825972059741616,5.837927475571632,396,1319,1715
20,CREATION,0.008271992206573486,4.945749832317233,4.954021824523807,312,1124,1436
21,CREATION,0.00845322385430336,6.050843499600887,6.059296723455191,286,1372,1658
22,CREATION,0.011554693803191185,5.906153501942754,5.917708195745945,354,1338,1692
23,CREATION,0.008387492969632149,4.739481367170811,4.747868860140443,285,1078,1363
24,CREATION,0.008355189114809036,6.7863418236374855,6.7946970127522945,322,1535,1857
25,CREATION,0.011642787605524063,5.937662601470947,5.949305389076471,365,1344,1709
26,CREATION,0.007200948894023895,5.240893853828311,5.248094802722335,152,1195,1347
27,CREATION,0.011532777920365334,5.686992080882192,5.698524858802557,360,1289,1649
28,CREATION,0.008950779214501381,6.931010073050857,6.939960852265358,243,1570,1813
29,CREATION,0.008290903642773628,5.770327143371105,5.778618047013879,301,1309,1610
30,CREATION,0.008394362404942513,11.878835966810584,11.887230329215527,329,2655,2984
31,CREATION,0.008596103638410568,6.451815992593765,6.460412096232176,296,1461,1757
32,CREATION,0.008458057418465614,4.482447920367122,4.490905977785587,299,1020,1319
33,CREATION,0.009300565347075462,6.143091954290867,6.152392519637942,225,1394,1619
34,CREATION,0.00904916413128376,7.350496696308255,7.359545860439539,236,1664,1900
35,CREATION,0.008469514548778534,5.076710095629096,5.085179610177875,277,1154,1431
36,CREATION,0.008285310119390488,5.43113885819912,5.43942416831851,341,1232,1573
37,CREATION,0.008326148614287376,5.876891564577818,5.885217713192105,300,1333,1633
38,CREATION,0.009111884981393814,4.940535539761186,4.9496474247425795,231,1125,1356
39,CREATION,0.008583690971136093,5.13193622417748,5.140519915148616,270,1167,1437
40,CREATION,0.012265684083104134,6.983828593045473,6.996094277128577,400,1577,1977
41,CREATION,0.008922521024942398,5.133089549839497,5.142012070864439,239,1168,1407
42,CREATION,0.008556144312024117,8.153478264808655,8.162034409120679,312,1839,2151
43,CREATION,0.0117330402135849,4.7956046517938375,4.8073376920074224,410,1088,1498
44,CREATION,0.0085836723446846,5.600770816206932,5.609354488551617,265,1272,1537
45,CREATION,0.01162753812968731,5.16465830616653,5.176285844296217,357,1172,1529
46,CREATION,0.008351033553481102,5.79012119024992,5.798472223803401,348,1312,1660
47,CREATION,0.009185334667563438,6.254862019792199,6.264047354459763,238,1419,1657
48,CREATION,0.007067183032631874,7.703468814492226,7.7105359975248575,200,1744,1944
49,CREATION,0.007317559793591499,5.44272543862462,5.450042998418212,184,1239,1423
50,CREATION,0.007140662521123886,6.503277402371168,6.510418064892292,228,1475,1703
51,CREATION,0.008410057052969933,5.0631284564733505,5.0715385135263205,277,1151,1428
52,CREATION,0.008424429222941399,4.962218018248677,4.970642447471619,292,1128,1420
53,CREATION,0.008213317021727562,4.815124429762363,4.823337746784091,298,1095,1393
54,CREATION,0.008756652474403381,6.050723910331726,6.0594805628061295,254,1373,1627
55,CREATION,0.008201831951737404,5.689765056595206,5.697966888546944,337,1290,1627
56,CREATION,0.011224834248423576,4.995412239804864,5.0066370740532875,369,1134,1503
57,CREATION,0.008254500105977058,5.789609268307686,5.797863768413663,300,1313,1613
58,CREATION,0.011252209544181824,5.814127849414945,5.8253800589591265,375,1317,1692
59,CREATION,0.00892849825322628,5.403669584542513,5.412598082795739,234,1229,1463
60,CREATION,0.008851155638694763,5.824064347893,5.832915503531694,243,1323,1566
61,CREATION,0.011503616347908974,6.055325087159872,6.066828703507781,356,1371,1727
62,CREATION,0.008211437612771988,5.57769594527781,5.585907382890582,336,1265,1601
63,CREATION,0.011538852006196976,6.952984070405364,6.964522922411561,356,1571,1927
64,CREATION,0.00840056873857975,4.524672813713551,4.53307338245213,276,1030,1306
65,CREATION,0.011410295963287354,5.1966405641287565,5.208050860092044,406,1178,1584
66,CREATION,0.007067058235406876,4.554441977292299,4.561509035527706,180,1039,1219
67,CREATION,0.008887305855751038,5.917100293561816,5.925987599417567,255,1343,1598
68,CREATION,0.008298644796013832,5.555981487035751,5.564280131831765,300,1261,1561
69,CREATION,0.008366983383893967,5.9983275309205055,6.0066945143043995,288,1360,1648
70,CREATION,0.011614875867962837,4.5309536419808865,4.542568517848849,369,1030,1399
71,CREATION,0.008360905572772026,5.1773517690598965,5.1857126746326685,309,1176,1485
72,CREATION,0.008297698572278023,6.932558408007026,6.940856106579304,352,1567,1919
73,CREATION,0.011850869283080101,5.4605723563581705,5.472423225641251,453,1236,1689
74,CREATION,0.011603659018874168,6.643729701638222,6.655333360657096,367,1502,1869
75,CREATION,0.008416963741183281,5.420505052432418,5.428922016173601,283,1231,1514
76,CREATION,0.007082011550664902,6.106890982016921,6.113972993567586,213,1387,1600
77,CREATION,0.011230824515223503,6.3154841512441635,6.326714975759387,384,1429,1813
78,CREATION,0.009049315005540848,5.369112735614181,5.378162050619721,232,1221,1453
79,CREATION,0.011604445055127144,6.2802263386547565,6.291830783709884,367,1421,1788
80,CREATION,0.007111174985766411,6.256613017991185,6.263724192976952,226,1420,1646
81,CREATION,0.008800406008958817,4.7616773676127195,4.770477773621678,252,1084,1336
82,CREATION,0.008317135274410248,5.756010940298438,5.764328075572848,298,1306,1604
83,CREATION,0.008707113564014435,4.699432400986552,4.708139514550567,258,1070,1328
84,CREATION,0.008203400298953056,4.747633656486869,4.755837056785822,323,1079,1402
85,CREATION,0.008223958313465118,5.363455316051841,5.371679274365306,349,1217,1566
86,CREATION,0.008284075185656548,5.849457347765565,5.8577414229512215,314,1326,1640
87,CREATION,0.011622082442045212,6.49881468527019,6.5104367677122355,353,1470,1823
88,CREATION,0.007312893867492676,5.865600861608982,5.872913755476475,237,1332,1569
89,CREATION,0.007190624251961708,5.097252208739519,5.104442832991481,189,1161,1350
90,CREATION,0.007151147350668907,5.030051378533244,5.037202525883913,221,1145,1366
91,CREATION,0.008941959589719772,5.843901759013534,5.852843718603253,237,1327,1564
92,CREATION,0.009289644658565521,6.588654464110732,6.597944108769298,231,1494,1725
93,CREATION,0.00919143296778202,5.737287839874625,5.746479272842407,244,1303,1547
94,CREATION,0.008323727175593376,5.369273951277137,5.37759767845273,305,1219,1524
95,CREATION,0.008603641763329506,7.34567292407155,7.35427656583488,272,1661,1933
96,CREATION,0.008327210322022438,5.3411606810987,5.349487891420722,331,1212,1543
